task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
RetroCreatePlaylist,58,1.0,0.00,24.00,789.1,0.0
RetroPlayingQueue,59,1.0,0.00,32.00,1103.0,0.0
RetroPlaylistDuration,60,1.0,0.00,30.00,1121.9,0.0
RetroSavePlaylist,61,1.0,0.00,50.00,1708.8,0.0
SaveCopyOfReceiptTaskEval,62,1.0,0.00,16.00,414.6,0.0
SimpleCalendarAddOneEvent,63,1.0,0.00,34.00,1179.5,0.0
SimpleCalendarAddOneEventInTwoWeeks,64,1.0,0.00,34.00,901.0,0.0
SimpleCalendarAddOneEventRelativeDay,65,1.0,0.00,34.00,895.8,0.0
SimpleCalendarAddOneEventTomorrow,66,1.0,0.00,34.00,958.9,0.0
SimpleCalendarAddRepeatingEvent,67,1.0,0.00,34.00,1049.5,0.0
SimpleCalendarAnyEventsOnDate,68,1.0,0.00,10.00,409.3,0.0
SimpleCalendarDeleteEvents,69,1.0,0.00,14.00,491.4,0.0
SimpleCalendarDeleteEventsOnRelativeDay,70,1.0,0.00,12.00,365.0,0.0
SimpleCalendarDeleteOneEvent,71,1.0,0.00,12.00,441.0,0.0
SimpleCalendarEventOnDateAtTime,72,1.0,0.00,10.00,321.6,0.0
SimpleCalendarEventsInNextWeek,73,1.0,0.00,10.00,271.8,0.0
SimpleCalendarEventsInTimeRange,74,1.0,0.00,10.00,405.9,0.0
SimpleCalendarEventsOnDate,75,1.0,0.00,10.00,378.5,0.0
SimpleCalendarFirstEventAfterStartTime,76,1.0,0.00,10.00,413.5,0.0
SimpleCalendarLocationOfEvent,77,1.0,0.00,10.00,402.1,0.0
SimpleCalendarNextEvent,78,1.0,0.00,10.00,258.7,0.0
SimpleCalendarNextMeetingWithPerson,79,1.0,0.00,10.00,382.8,0.0
SimpleDrawProCreateDrawing,80,1.0,0.00,18.00,547.1,0.0
SimpleSmsReply,81,1.0,0.00,12.00,424.9,0.0
SimpleSmsReplyMostRecent,82,1.0,0.00,12.00,334.8,0.0
SimpleSmsResend,83,1.0,0.00,12.00,407.9,0.0
SimpleSmsSend,84,1.0,0.00,12.00,361.7,0.0
SimpleSmsSendClipboardContent,85,1.0,0.00,12.00,340.0,0.0
SimpleSmsSendReceivedAddress,86,1.0,0.00,18.00,494.2,0.0
SportsTrackerActivitiesCountForWeek,87,1.0,0.00,10.00,341.0,0.0
SportsTrackerActivitiesOnDate,88,1.0,0.00,8.00,271.0,0.0
SportsTrackerActivityDuration,89,1.0,0.00,10.00,303.5,0.0
SportsTrackerLongestDistanceActivity,90,1.0,0.00,10.00,264.7,0.0
SportsTrackerTotalDistanceForCategoryOverInterval,91,1.0,0.00,20.00,699.4,0.0
SportsTrackerTotalDurationForCategoryThisWeek,92,1.0,0.00,7.00,275.4,0.0
SystemBluetoothTurnOff,93,1.0,0.00,10.00,288.3,0.0
SystemBluetoothTurnOffVerify,94,1.0,1.00,9.00,259.5,0.0
SystemBluetoothTurnOn,95,1.0,0.00,10.00,252.9,0.0
SystemBluetoothTurnOnVerify,96,1.0,0.00,10.00,282.1,0.0
SystemBrightnessMax,97,1.0,0.00,10.00,249.0,0.0
SystemBrightnessMaxVerify,98,1.0,1.00,6.00,162.6,0.0
SystemBrightnessMin,99,1.0,0.00,10.00,255.6,0.0
SystemBrightnessMinVerify,100,1.0,1.00,5.00,138.8,0.0
SystemCopyToClipboard,101,1.0,0.00,10.00,335.2,0.0
SystemWifiTurnOff,102,1.0,1.00,10.00,292.6,0.0
SystemWifiTurnOffVerify,103,1.0,1.00,5.00,118.7,0.0
SystemWifiTurnOn,104,1.0,1.00,5.00,164.0,0.0
SystemWifiTurnOnVerify,105,1.0,0.00,10.00,277.8,0.0
TasksCompletedTasksForDate,106,1.0,0.00,10.00,339.9,0.0
TasksDueNextWeek,107,1.0,0.00,10.00,360.2,0.0
TasksDueOnDate,108,1.0,0.00,10.00,312.4,0.0
TasksHighPriorityTasks,109,1.0,0.00,10.00,341.3,0.0
TasksHighPriorityTasksDueOnDate,110,1.0,0.00,10.00,319.1,0.0
TasksIncompleteTasksOnDate,111,1.0,0.00,10.00,261.0,0.0
TurnOffWifiAndTurnOnBluetooth,112,1.0,1.00,14.00,378.2,0.0
TurnOnWifiAndOpenApp,113,1.0,1.00,15.00,408.9,0.0
VlcCreatePlaylist,114,1.0,0.00,28.00,902.6,0.0
VlcCreateTwoPlaylists,115,1.0,0.00,48.00,1835.3,0.0
