task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
SimpleSmsSendClipboardContent,85,1.0,0.00,12.0,88.2,0.0
SimpleSmsSendReceivedAddress,86,1.0,0.00,18.0,234.3,0.0
SportsTrackerActivitiesCountForWeek,87,1.0,0.00,10.0,89.1,0.0
SportsTrackerActivitiesOnDate,88,1.0,0.00,20.0,144.6,0.0
SportsTrackerActivityDuration,89,1.0,0.00,10.0,79.8,0.0
SportsTrackerLongestDistanceActivity,90,1.0,0.00,10.0,93.4,0.0
SportsTrackerTotalDistanceForCategoryOverInterval,91,1.0,0.00,14.0,122.7,0.0
SportsTrackerTotalDurationForCategoryThisWeek,92,1.0,0.00,10.0,91.0,0.0
SystemBluetoothTurnOff,93,1.0,0.00,10.0,115.8,0.0
SystemBluetoothTurnOffVerify,94,1.0,0.00,10.0,60.9,0.0
SystemBluetoothTurnOn,95,1.0,0.00,10.0,102.9,0.0
SystemBluetoothTurnOnVerify,96,1.0,0.00,10.0,100.2,0.0
SystemBrightnessMax,97,1.0,0.00,10.0,105.2,0.0
SystemBrightnessMaxVerify,98,1.0,0.00,10.0,64.7,0.0
SystemBrightnessMin,99,1.0,0.00,10.0,74.1,0.0
SystemBrightnessMinVerify,100,1.0,1.00,7.0,80.2,0.0
SystemCopyToClipboard,101,1.0,0.00,10.0,98.8,0.0
SystemWifiTurnOff,102,1.0,0.00,6.0,66.8,0.0
SystemWifiTurnOffVerify,103,1.0,0.00,10.0,74.4,0.0
SystemWifiTurnOn,104,1.0,0.00,10.0,97.4,0.0
SystemWifiTurnOnVerify,105,1.0,0.00,10.0,73.3,0.0
TasksCompletedTasksForDate,106,1.0,0.00,10.0,61.3,0.0
TasksDueNextWeek,107,1.0,0.00,10.0,62.3,0.0
TasksDueOnDate,108,1.0,0.00,10.0,65.4,0.0
TasksHighPriorityTasks,109,1.0,0.00,10.0,78.6,0.0
TasksHighPriorityTasksDueOnDate,110,1.0,0.00,10.0,63.0,0.0
TasksIncompleteTasksOnDate,111,1.0,0.00,10.0,66.3,0.0
TurnOffWifiAndTurnOnBluetooth,112,1.0,0.00,20.0,198.1,0.0
TurnOnWifiAndOpenApp,113,1.0,0.00,20.0,103.9,0.0
VlcCreatePlaylist,114,1.0,0.00,28.0,139.0,0.0
VlcCreateTwoPlaylists,115,1.0,0.00,48.0,409.0,0.0
Average,-,1.0,0.052,18.1,116.74,0.0
