task,task_num,num_complete_trials,mean_success_rate,mean_episode_length,total_runtime_s,num_fail_trials
RecipeAddMultipleRecipesFromImage,46,1.0,0.00,32.00,185.9,0.0
RecipeAddMultipleRecipesFromMarkor,47,1.0,0.00,28.00,183.5,0.0
RecipeAddMultipleRecipesFromMarkor2,48,1.0,0.00,60.00,313.9,0.0
RecipeAddSingleRecipe,49,1.0,0.00,23.00,103.5,0.0
RecipeDeleteDuplicateRecipes,50,1.0,0.00,10.00,87.8,0.0
RecipeDeleteDuplicateRecipes2,51,1.0,0.00,18.00,131.9,0.0
RecipeDeleteDuplicateRecipes3,52,1.0,0.00,34.00,250.1,0.0
RecipeDeleteMultipleRecipes,53,1.0,0.00,24.00,263.0,0.0
RecipeDeleteMultipleRecipesWithConstraint,54,1.0,1.00,10.00,110.5,0.0
RecipeDeleteMultipleRecipesWithNoise,55,1.0,0.00,28.00,171.2,0.0
RecipeDeleteSingleRecipe,56,1.0,1.00,10.00,94.1,0.0
RecipeDeleteSingleWithRecipeWithNoise,57,1.0,0.00,20.00,166.1,0.0
RetroCreatePlaylist,58,1.0,0.00,24.00,131.5,0.0
RetroPlayingQueue,59,1.0,0.00,8.00,54.3,0.0
RetroPlaylistDuration,60,1.0,0.00,9.00,72.3,0.0
RetroSavePlaylist,61,1.0,0.00,28.00,141.4,0.0
SaveCopyOfReceiptTaskEval,62,1.0,0.00,16.00,99.8,0.0
SimpleCalendarAddOneEvent,63,1.0,0.00,22.00,132.1,0.0
SimpleCalendarAddOneEventInTwoWeeks,64,1.0,0.00,34.00,176.0,0.0
SimpleCalendarAddOneEventRelativeDay,65,1.0,0.00,8.00,89.3,0.0
SimpleCalendarAddOneEventTomorrow,66,1.0,0.00,3.00,43.6,0.0
SimpleCalendarAddRepeatingEvent,67,1.0,0.00,34.00,169.4,0.0
SimpleCalendarAnyEventsOnDate,68,1.0,0.00,10.00,74.9,0.0
SimpleCalendarDeleteEvents,69,1.0,0.00,14.00,103.0,0.0
SimpleCalendarDeleteEventsOnRelativeDay,70,1.0,0.00,12.00,75.7,0.0
SimpleCalendarDeleteOneEvent,71,1.0,0.00,12.00,93.1,0.0
SimpleCalendarEventOnDateAtTime,72,1.0,0.00,10.00,60.3,0.0
SimpleCalendarEventsInNextWeek,73,1.0,0.00,2.00,31.7,0.0
SimpleCalendarEventsInTimeRange,74,1.0,0.00,10.00,66.2,0.0
SimpleCalendarEventsOnDate,75,1.0,0.00,10.00,75.8,0.0
SimpleCalendarFirstEventAfterStartTime,76,1.0,0.00,3.00,38.5,0.0
SimpleCalendarLocationOfEvent,77,1.0,0.00,10.00,62.8,0.0
SimpleCalendarNextEvent,78,1.0,0.00,10.00,80.6,0.0
SimpleCalendarNextMeetingWithPerson,79,1.0,0.00,8.00,66.0,0.0
SimpleDrawProCreateDrawing,80,1.0,0.00,18.00,107.6,0.0
SimpleSmsReply,81,1.0,0.00,12.00,126.0,0.0
SimpleSmsReplyMostRecent,82,1.0,0.00,12.00,124.4,0.0
SimpleSmsResend,83,1.0,0.00,12.00,93.6,0.0
SimpleSmsSend,84,1.0,0.00,7.00,72.3,0.0
SimpleSmsSendClipboardContent,85,1.0,0.00,12.00,114.1,0.0
SimpleSmsSendReceivedAddress,86,1.0,0.00,13.00,131.3,0.0
SportsTrackerActivitiesCountForWeek,87,1.0,0.00,10.00,62.8,0.0
SportsTrackerActivitiesOnDate,88,1.0,0.00,20.00,148.2,0.0
SportsTrackerActivityDuration,89,1.0,0.00,10.00,69.6,0.0
SportsTrackerLongestDistanceActivity,90,1.0,0.00,8.00,62.0,0.0
SportsTrackerTotalDistanceForCategoryOverInterval,91,1.0,0.00,20.00,131.7,0.0
SportsTrackerTotalDurationForCategoryThisWeek,92,1.0,0.00,10.00,93.5,0.0
SystemBluetoothTurnOff,93,1.0,1.00,8.00,112.1,0.0
SystemBluetoothTurnOffVerify,94,1.0,0.00,7.00,85.0,0.0
SystemBluetoothTurnOn,95,1.0,0.00,10.00,114.7,0.0
SystemBluetoothTurnOnVerify,96,1.0,0.00,10.00,65.6,0.0
SystemBrightnessMax,97,1.0,0.00,10.00,80.5,0.0
SystemBrightnessMaxVerify,98,1.0,1.00,5.00,74.8,0.0
SystemBrightnessMin,99,1.0,0.00,6.00,77.0,0.0
SystemBrightnessMinVerify,100,1.0,0.00,10.00,63.4,0.0
SystemCopyToClipboard,101,1.0,0.00,10.00,127.2,0.0
SystemWifiTurnOff,102,1.0,0.00,7.00,79.1,0.0
SystemWifiTurnOffVerify,103,1.0,0.00,8.00,115.0,0.0
SystemWifiTurnOn,104,1.0,1.00,9.00,95.9,0.0
SystemWifiTurnOnVerify,105,1.0,1.00,9.00,102.3,0.0
TasksCompletedTasksForDate,106,1.0,0.00,10.00,71.3,0.0
TasksDueNextWeek,107,1.0,0.00,10.00,71.7,0.0
TasksDueOnDate,108,1.0,0.00,10.00,73.3,0.0
TasksHighPriorityTasks,109,1.0,0.00,10.00,87.9,0.0
TasksHighPriorityTasksDueOnDate,110,1.0,0.00,10.00,74.0,0.0
TasksIncompleteTasksOnDate,111,1.0,0.00,10.00,70.4,0.0
TurnOffWifiAndTurnOnBluetooth,112,1.0,0.00,20.00,216.0,0.0
TurnOnWifiAndOpenApp,113,1.0,1.00,14.00,182.8,0.0
VlcCreatePlaylist,114,1.0,0.00,14.00,83.9,0.0
VlcCreateTwoPlaylists,115,1.0,0.00,14.00,94.9,0.0
Average,-,1.0,0.095,14.41,115.24,0.0
